Name,City,Type,Rating,Avg Consultation Price (EGP)
Sharm El Sheikh International Clinic,Sharm El Sheikh,Clinic,5.0,428
Hurghada International Eye Center,Hurghada,Eye Center,4.6,106
Alexandria International Clinic,Alexandria,Clinic,4.3,103
Cairo International Wellness Resort,Cairo,Wellness Resort,4.9,323
Hurghada International Wellness Resort,Hurghada,Wellness Resort,4.3,471
Sharm El Sheikh International Clinic,Sharm El Sheikh,Clinic,4.9,333
Luxor International Hospital,Luxor,Hospital,5.0,120
Sharm El Sheikh International Eye Center,Sharm El Sheikh,Eye Center,4.7,209
Aswan International Dental Center,Aswan,Dental Center,4.1,396
Hurghada International Dental Center,Hurghada,Dental Center,4.1,398
Sharm El Sheikh International Eye Center,Sharm El Sheikh,Eye Center,4.3,270
Sharm El Sheikh International Clinic,Sharm El Sheikh,Clinic,4.8,210
Sharm El Sheikh International Hospital,Sharm El Sheikh,Hospital,4.0,182
Sharm El Sheikh International Dental Center,Sharm El Sheikh,Dental Center,4.1,173
Aswan International Hospital,Aswan,Hospital,4.0,387
Cairo International Wellness Resort,Cairo,Wellness Resort,4.9,215
Sharm El Sheikh International Wellness Resort,Sharm El Sheikh,Wellness Resort,4.3,382
Hurghada International Dental Center,Hurghada,Dental Center,4.5,201
Alexandria International Clinic,Alexandria,Clinic,4.9,242
Aswan International Clinic,Aswan,Clinic,4.7,210
Hurghada International Clinic,Hurghada,Clinic,4.9,312
Hurghada International Hospital,Hurghada,Hospital,4.7,469
Hurghada International Wellness Resort,Hurghada,Wellness Resort,4.8,212
Alexandria International Hospital,Alexandria,Hospital,4.3,346
Aswan International Wellness Resort,Aswan,Wellness Resort,4.1,172
Alexandria International Hospital,Alexandria,Hospital,4.5,169
Sharm El Sheikh International Wellness Resort,Sharm El Sheikh,Wellness Resort,4.9,113
Luxor International Hospital,Luxor,Hospital,4.6,441
Alexandria International Eye Center,Alexandria,Eye Center,4.3,313
Hurghada International Dental Center,Hurghada,Dental Center,4.2,475
