Origin,Destination,Airline,Price (MAD)
Rabat,Marrakech,Morocco Air,505
Marrakech,Fes,Morocco Air,498
Rabat,Casablanca,Morocco Air,1582
Tangier,Chefchaouen,Morocco Air,1455
Tangier,Rabat,Morocco Air,900
Rabat,Marrakech,Morocco Air,1254
Chefchaouen,Casablanca,Morocco Air,771
Rabat,Tangier,Morocco Air,1522
Fes,Chefchaouen,Morocco Air,926
Chefchaouen,Casablanca,Morocco Air,720
Marrakech,Rabat,Morocco Air,478
Marrakech,Rabat,Morocco Air,1598
Chefchaouen,Tangier,Morocco Air,1018
Chefchaouen,Casablanca,Morocco Air,1202
Chefchaouen,Marrakech,Morocco Air,573
Chefchaouen,Fes,Morocco Air,612
Fes,Tangier,Morocco Air,1520
Chefchaouen,Rabat,Morocco Air,1450
Fes,Chefchaouen,Morocco Air,584
Casablanca,Tangier,Morocco Air,1588
