Hotel Name,City,Rating,Stars,Price (MAD)
Grand Dar,Casablanca,4.6,3,976
Royal Riad,Rabat,4.3,5,734
Moorish Inn,Casablanca,3.9,5,726
Atlas Resort,Fes,5.0,5,1025
Moorish Resort,Marrakech,3.9,4,251
Marrakech Palace,Chefchaouen,4.1,4,459
Royal Dar,Casablanca,5.0,5,1157
Moorish Riad,Tangier,3.1,4,1154
Sahara Dar,Tangier,3.8,3,377
Royal Inn,Tangier,4.1,3,1148
Grand Inn,Casablanca,3.1,5,908
Atlas Riad,Chefchaouen,4.4,4,1183
Sahara Inn,Rabat,3.4,5,925
Grand Hotel,Tangier,3.2,5,611
Royal Inn,Casablanca,4.1,4,693
Marrakech Inn,Casablanca,4.8,4,763
Sahara Inn,Fes,4.3,3,551
Sahara Resort,Marrakech,3.2,4,472
Royal Inn,Chefchaouen,3.7,5,278
Grand Inn,Tangier,3.1,3,1139
Grand Resort,Chefchaouen,3.4,3,1011
Royal Hotel,Fes,3.3,4,868
Atlas Inn,Tangier,3.8,5,974
Moorish Riad,Chefchaouen,3.2,4,919
Sahara Resort,Rabat,3.5,5,503
Atlas Inn,Marrakech,3.7,3,539
Sahara Resort,Tangier,3.8,5,824
Grand Riad,Casablanca,3.2,5,745
Sahara Inn,Rabat,3.5,4,384
Grand Palace,Marrakech,3.7,4,974
Grand Hotel,Casablanca,3.5,4,977
Moorish Dar,Casablanca,3.2,5,999
Marrakech Resort,Fes,3.6,4,254
Royal Palace,Chefchaouen,4.6,5,824
Moorish Palace,Chefchaouen,4.7,3,181
Royal Hotel,Marrakech,4.8,3,830
Royal Hotel,Marrakech,4.3,5,215
Marrakech Hotel,Rabat,4.8,4,895
Moorish Palace,Marrakech,3.3,4,1024
Sahara Hotel,Marrakech,3.1,5,577
Grand Dar,Rabat,3.6,5,758
Moorish Palace,Tangier,4.6,4,1144
Moorish Inn,Tangier,3.4,4,344
Royal Dar,Chefchaouen,3.6,4,588
Moorish Riad,Marrakech,3.8,5,1004
Sahara Inn,Chefchaouen,4.4,4,1140
Moorish Riad,Fes,3.3,3,1147
Sahara Resort,Rabat,4.9,3,390
Moorish Hotel,Rabat,3.3,3,603
Royal Resort,Fes,4.6,5,747
