Name,City,Type,Rating,Avg Consultation Price (MAD)
Tangier International Hospital,Tangier,Hospital,4.2,253
Tangier International Hospital,Tangier,Hospital,4.3,182
Casablanca International Dental Center,Casablanca,Dental Center,4.1,91
Chefchaouen International Wellness Retreat,Chefchaouen,Wellness Retreat,4.6,335
Marrakech International Dental Center,Marrakech,Dental Center,4.4,154
Fes International Dental Center,Fes,Dental Center,4.3,320
Fes International Hospital,Fes,Hospital,4.4,256
Chefchaouen International Wellness Retreat,Chefchaouen,Wellness Retreat,4.2,181
Fes International Hospital,Fes,Hospital,4.9,296
Tangier International Clinic,Tangier,Clinic,4.3,391
Marrakech International Dental Center,Marrakech,Dental Center,4.2,276
Tangier International Dental Center,Tangier,Dental Center,4.2,350
Chefchaouen International Hospital,Chefchaouen,Hospital,5.0,113
Casablanca International Dental Center,Casablanca,Dental Center,4.0,227
Casablanca International Hammam Spa,Casablanca,Hammam Spa,4.0,319
Chefchaouen International Hammam Spa,Chefchaouen,Hammam Spa,4.6,392
Chefchaouen International Clinic,Chefchaouen,Clinic,4.1,136
Fes International Clinic,Fes,Clinic,4.4,310
Fes International Hammam Spa,Fes,Hammam Spa,5.0,171
Chefchaouen International Wellness Retreat,Chefchaouen,Wellness Retreat,4.8,91
Casablanca International Wellness Retreat,Casablanca,Wellness Retreat,4.6,205
Marrakech International Hammam Spa,Marrakech,Hammam Spa,4.1,384
Rabat International Dental Center,Rabat,Dental Center,4.4,170
Chefchaouen International Hammam Spa,Chefchaouen,Hammam Spa,4.5,308
Tangier International Dental Center,Tangier,Dental Center,4.2,267
Rabat International Hammam Spa,Rabat,Hammam Spa,4.3,346
Tangier International Dental Center,Tangier,Dental Center,4.8,139
Casablanca International Dental Center,Casablanca,Dental Center,4.8,145
Chefchaouen International Hammam Spa,Chefchaouen,Hammam Spa,4.7,332
Casablanca International Hammam Spa,Casablanca,Hammam Spa,4.7,320
