Name,City,User Rating,Cuisine
Casablanca International Restaurant,Casablanca,3.9,International
Marrakech French Restaurant,Marrakech,3.0,French
Marrakech International Restaurant,Marrakech,4.6,International
Marrakech Seafood Restaurant,Marrakech,4.2,Seafood
Fes International Restaurant,Fes,3.2,International
Chefchaouen Seafood Restaurant,Chefchaouen,4.3,Seafood
Casablanca Mediterranean Restaurant,Casablanca,4.8,Mediterranean
Chefchaouen Moroccan Restaurant,Chefchaouen,4.0,Moroccan
Marrakech Mediterranean Restaurant,Marrakech,4.5,Mediterranean
Tangier Seafood Restaurant,Tangier,4.9,Seafood
Casablanca Moroccan Restaurant,Casablanca,3.7,Moroccan
Fes Moroccan Restaurant,Fes,4.1,Moroccan
Fes Moroccan Restaurant,Fes,4.3,Moroccan
Casablanca International Restaurant,Casablanca,4.9,International
Chefchaouen Seafood Restaurant,Chefchaouen,3.2,Seafood
Marrakech Seafood Restaurant,Marrakech,4.8,Seafood
Rabat French Restaurant,Rabat,4.9,French
Tangier Moroccan Restaurant,Tangier,3.2,Moroccan
Casablanca French Restaurant,Casablanca,3.8,French
Marrakech French Restaurant,Marrakech,3.6,French
Rabat Moroccan Restaurant,Rabat,3.3,Moroccan
Rabat Seafood Restaurant,Rabat,3.1,Seafood
Tangier Seafood Restaurant,Tangier,3.6,Seafood
Fes International Restaurant,Fes,3.3,International
Casablanca Seafood Restaurant,Casablanca,4.7,Seafood
Chefchaouen International Restaurant,Chefchaouen,4.3,International
Chefchaouen Mediterranean Restaurant,Chefchaouen,3.8,Mediterranean
Chefchaouen Seafood Restaurant,Chefchaouen,4.0,Seafood
Rabat French Restaurant,Rabat,4.9,French
Chefchaouen Mediterranean Restaurant,Chefchaouen,3.6,Mediterranean
Marrakech Mediterranean Restaurant,Marrakech,4.4,Mediterranean
Chefchaouen French Restaurant,Chefchaouen,4.5,French
Chefchaouen International Restaurant,Chefchaouen,3.9,International
Tangier International Restaurant,Tangier,3.4,International
Rabat Seafood Restaurant,Rabat,3.7,Seafood
Casablanca International Restaurant,Casablanca,3.4,International
Marrakech International Restaurant,Marrakech,4.6,International
Rabat Moroccan Restaurant,Rabat,3.8,Moroccan
Chefchaouen International Restaurant,Chefchaouen,3.3,International
Marrakech French Restaurant,Marrakech,4.3,French
Fes French Restaurant,Fes,4.7,French
Marrakech French Restaurant,Marrakech,4.7,French
Marrakech International Restaurant,Marrakech,3.1,International
Tangier French Restaurant,Tangier,3.4,French
Fes Moroccan Restaurant,Fes,4.8,Moroccan
Marrakech Mediterranean Restaurant,Marrakech,4.9,Mediterranean
Chefchaouen French Restaurant,Chefchaouen,4.2,French
Chefchaouen International Restaurant,Chefchaouen,4.9,International
Chefchaouen Seafood Restaurant,Chefchaouen,4.5,Seafood
Fes International Restaurant,Fes,4.8,International
