Attraction,City,Rating,Category
Al Rayyan Cultural Village,Al Rayyan,3.6,Cultural Village
Al Khor Cultural Village,Al Khor,3.8,Cultural Village
Al Rayyan Souq,Al Rayyan,4.3,Souq
Al Khor Mall,Al Khor,3.7,Mall
Al Khor Museum,Al Khor,5.0,Museum
Doha Museum,Doha,3.9,Museum
Doha Park,Doha,4.8,Park
Al Rayyan Museum,Al Rayyan,3.6,Museum
Lusail Museum,Lusail,4.6,Museum
Lusail Cultural Village,Lusail,4.1,Cultural Village
Doha Souq,Doha,3.9,Souq
Al Wakrah Park,Al Wakrah,3.8,Park
Lusail Park,Lusail,3.9,Park
Doha Mall,Doha,3.7,Mall
Lusail Cultural Village,Lusail,4.3,Cultural Village
Al Wakrah Museum,Al Wakrah,3.7,Museum
Doha Cultural Village,Doha,4.2,Cultural Village
Lusail Mall,Lusail,3.8,Mall
Al Wakrah Mall,Al Wakrah,3.5,Mall
Al Wakrah Mall,Al Wakrah,4.7,Mall
Al Rayyan Mall,Al Rayyan,4.6,Mall
Doha Park,Doha,5.0,Park
Al Rayyan Museum,Al Rayyan,4.8,Museum
Al Khor Souq,Al Khor,4.0,Souq
Al Wakrah Park,Al Wakrah,3.7,Park
Doha Museum,Doha,4.0,Museum
Al Khor Museum,Al Khor,3.8,Museum
Doha Museum,Doha,4.7,Museum
Al Khor Museum,Al Khor,4.0,Museum
Lusail Cultural Village,Lusail,4.4,Cultural Village
Lusail Park,Lusail,4.9,Park
Al Wakrah Museum,Al Wakrah,4.6,Museum
Al Rayyan Museum,Al Rayyan,4.9,Museum
Al Rayyan Museum,Al Rayyan,4.7,Museum
Al Khor Museum,Al Khor,4.9,Museum
Doha Souq,Doha,3.8,Souq
Al Rayyan Museum,Al Rayyan,4.3,Museum
Al Rayyan Cultural Village,Al Rayyan,3.7,Cultural Village
Lusail Cultural Village,Lusail,3.9,Cultural Village
Lusail Souq,Lusail,4.8,Souq
Lusail Mall,Lusail,4.1,Mall
Al Khor Souq,Al Khor,4.7,Souq
Al Khor Park,Al Khor,3.8,Park
Al Rayyan Museum,Al Rayyan,3.6,Museum
Lusail Souq,Lusail,4.6,Souq
Al Rayyan Cultural Village,Al Rayyan,4.1,Cultural Village
Doha Mall,Doha,4.6,Mall
Al Khor Park,Al Khor,3.6,Park
Lusail Park,Lusail,4.0,Park
Lusail Cultural Village,Lusail,3.9,Cultural Village
