Origin,Destination,Airline,Price (QAR)
Al Rayyan,Al Khor,Qatar Air,3132
Doha,Al Khor,Qatar Air,1232
Al Wakrah,Al Rayyan,Qatar Air,1183
Al Rayyan,Doha,Qatar Air,1901
Lusail,Al Wakrah,Qatar Air,2479
Al Khor,Doha,Qatar Air,2887
Al Rayyan,Lusail,Qatar Air,1119
Doha,Al Rayyan,Qatar Air,2256
Al Wakrah,Lusail,Qatar Air,3472
Al Wakrah,Doha,Qatar Air,3089
Al Rayyan,Al Wakrah,Qatar Air,2706
Al Rayyan,Lusail,Qatar Air,2946
Al Rayyan,Lusail,Qatar Air,3070
Doha,Lusail,Qatar Air,1911
Lusail,Al Wakrah,Qatar Air,1260
Lusail,Al Rayyan,Qatar Air,1292
Al Wakrah,Al Rayyan,Qatar Air,2204
Al Rayyan,Doha,Qatar Air,3676
Lusail,Al Khor,Qatar Air,3674
Al Rayyan,Lusail,Qatar Air,1086
