Hotel Name,City,Rating,Stars,Price (QAR)
Desert Tower,Al Wakrah,3.6,5,1266
Desert Tower,Lusail,4.8,5,677
Al Inn,Al Khor,3.9,5,873
Pearl Resort,Al Wakrah,5.0,5,1782
Pearl Tower,Lusail,4.7,5,1308
Qatar Resort,Al Rayyan,3.6,5,1719
Qatar Palace,Al Wakrah,3.4,5,1421
Doha Palace,Al Wakrah,4.4,5,686
Gulf Resort,Al Khor,3.3,3,2404
Gulf Resort,Lusail,4.4,5,1673
Pearl Tower,Doha,3.3,4,1363
Royal Tower,Al Rayyan,4.6,4,1084
Pearl Inn,Al Wakrah,3.2,4,2170
Pearl Tower,Doha,3.6,3,2940
Qatar Tower,Al Wakrah,3.1,5,1689
Desert Tower,Al Rayyan,3.1,5,1198
Al Palace,Doha,4.2,4,593
Pearl Palace,Al Rayyan,4.1,5,1608
Gulf Suites,Lusail,3.6,3,401
Doha Tower,Al Khor,3.9,5,953
Doha Suites,Al Khor,3.6,3,492
Qatar Suites,Lusail,3.1,4,815
Desert Suites,Doha,4.8,3,995
Pearl Tower,Al Wakrah,4.9,4,2296
Qatar Inn,Doha,5.0,3,2252
Royal Suites,Doha,4.8,3,590
Gulf Suites,Al Khor,4.2,3,2419
Al Hotel,Doha,3.8,5,2597
Gulf Palace,Al Wakrah,3.3,5,2144
Desert Resort,Al Rayyan,4.2,3,1009
Qatar Hotel,Lusail,4.6,4,2620
Royal Inn,Al Khor,4.5,3,2371
Gulf Hotel,Al Rayyan,4.0,5,2868
Qatar Tower,Lusail,3.7,4,1559
Royal Hotel,Doha,3.0,4,1410
Al Palace,Lusail,3.4,5,2206
Al Tower,Al Rayyan,3.6,4,946
Doha Suites,Al Rayyan,4.5,3,2555
Gulf Tower,Lusail,4.2,3,2128
Gulf Palace,Al Rayyan,4.5,3,2977
Doha Suites,Al Khor,3.8,4,2494
Doha Inn,Al Wakrah,3.9,4,1020
Doha Resort,Al Khor,4.5,3,1319
Doha Suites,Al Rayyan,3.7,5,2602
Desert Inn,Al Rayyan,4.5,3,1921
Al Suites,Al Khor,3.6,4,1747
Royal Resort,Al Wakrah,3.8,4,2197
Al Suites,Al Khor,3.9,3,1431
Qatar Palace,Al Wakrah,4.4,5,1298
Doha Hotel,Al Wakrah,4.3,5,986
