Name,City,Type,Rating,Avg Consultation Price (QAR)
Al Wakrah International Dental Center,Al Wakrah,Dental Center,4.3,342
Al Rayyan International Hospital,Al Rayyan,Hospital,4.3,528
Al Rayyan International Wellness Resort,Al Rayyan,Wellness Resort,4.1,468
Al Rayyan International Wellness Resort,Al Rayyan,Wellness Resort,4.4,293
Lusail International Hospital,Lusail,Hospital,4.8,370
Doha International Wellness Resort,Doha,Wellness Resort,5.0,233
Doha International Wellness Resort,Doha,Wellness Resort,4.1,233
Al Khor International Clinic,Al Khor,Clinic,4.3,293
Al Rayyan International Hospital,Al Rayyan,Hospital,4.4,771
Lusail International Clinic,Lusail,Clinic,5.0,237
Al Khor International Wellness Resort,Al Khor,Wellness Resort,4.0,716
Al Rayyan International Wellness Resort,Al Rayyan,Wellness Resort,4.4,279
Al Khor International Dental Center,Al Khor,Dental Center,4.3,896
Al Khor International Hospital,Al Khor,Hospital,4.4,850
Lusail International Wellness Resort,Lusail,Wellness Resort,4.7,305
Al Wakrah International Hospital,Al Wakrah,Hospital,4.5,946
Al Rayyan International Wellness Resort,Al Rayyan,Wellness Resort,4.7,378
Doha International Hospital,Doha,Hospital,4.2,995
Doha International Clinic,Doha,Clinic,4.6,953
Al Khor International Wellness Resort,Al Khor,Wellness Resort,4.6,475
Doha International Hospital,Doha,Hospital,4.9,846
Al Rayyan International Dental Center,Al Rayyan,Dental Center,4.9,505
Al Khor International Dental Center,Al Khor,Dental Center,4.2,564
Al Rayyan International Clinic,Al Rayyan,Clinic,4.8,592
Al Rayyan International Clinic,Al Rayyan,Clinic,4.6,869
Al Khor International Dental Center,Al Khor,Dental Center,5.0,838
Doha International Hospital,Doha,Hospital,4.3,819
Al Rayyan International Hospital,Al Rayyan,Hospital,4.4,585
Al Khor International Wellness Resort,Al Khor,Wellness Resort,4.9,780
Lusail International Hospital,Lusail,Hospital,4.6,672
