Name,City,User Rating,Cuisine
Al Rayyan Qatari Restaurant,Al Rayyan,3.3,Qatari
Al Khor International Restaurant,Al Khor,4.1,International
Al Rayyan Middle Eastern Restaurant,Al Rayyan,5.0,Middle Eastern
Al Rayyan Indian Restaurant,Al Rayyan,4.0,Indian
Al Khor Middle Eastern Restaurant,Al Khor,3.4,Middle Eastern
Doha International Restaurant,Doha,4.1,International
Lusail Qatari Restaurant,Lusail,4.9,Qatari
Al Rayyan Qatari Restaurant,Al Rayyan,4.5,Qatari
Al Khor Indian Restaurant,Al Khor,5.0,Indian
Al Khor Lebanese Restaurant,Al Khor,3.7,Lebanese
Al Khor Indian Restaurant,Al Khor,4.3,Indian
Doha Qatari Restaurant,Doha,4.6,Qatari
Lusail International Restaurant,Lusail,3.7,International
Al Khor Qatari Restaurant,Al Khor,4.1,Qatari
Lusail Qatari Restaurant,Lusail,3.3,Qatari
Al Wakrah Qatari Restaurant,Al Wakrah,3.6,Qatari
Lusail Middle Eastern Restaurant,Lusail,3.6,Middle Eastern
Al Rayyan Lebanese Restaurant,Al Rayyan,4.3,Lebanese
Al Khor Middle Eastern Restaurant,Al Khor,3.3,Middle Eastern
Lusail Lebanese Restaurant,Lusail,3.2,Lebanese
Al Wakrah Qatari Restaurant,Al Wakrah,3.3,Qatari
Al Wakrah Lebanese Restaurant,Al Wakrah,4.7,Lebanese
Al Wakrah Indian Restaurant,Al Wakrah,4.8,Indian
Al Rayyan Qatari Restaurant,Al Rayyan,4.5,Qatari
Al Khor Middle Eastern Restaurant,Al Khor,4.2,Middle Eastern
Al Khor Indian Restaurant,Al Khor,4.2,Indian
Al Rayyan Indian Restaurant,Al Rayyan,4.6,Indian
Al Wakrah International Restaurant,Al Wakrah,4.3,International
Al Rayyan Qatari Restaurant,Al Rayyan,3.4,Qatari
Al Wakrah Middle Eastern Restaurant,Al Wakrah,3.5,Middle Eastern
Lusail Lebanese Restaurant,Lusail,4.6,Lebanese
Al Rayyan Lebanese Restaurant,Al Rayyan,4.8,Lebanese
Al Rayyan International Restaurant,Al Rayyan,4.9,International
Al Rayyan Qatari Restaurant,Al Rayyan,4.4,Qatari
Al Khor Qatari Restaurant,Al Khor,3.6,Qatari
Al Wakrah Lebanese Restaurant,Al Wakrah,4.1,Lebanese
Lusail International Restaurant,Lusail,3.4,International
Al Khor Qatari Restaurant,Al Khor,3.6,Qatari
Lusail Lebanese Restaurant,Lusail,4.2,Lebanese
Al Khor International Restaurant,Al Khor,3.5,International
Al Rayyan Lebanese Restaurant,Al Rayyan,4.8,Lebanese
Al Wakrah International Restaurant,Al Wakrah,3.9,International
Al Wakrah Qatari Restaurant,Al Wakrah,4.4,Qatari
Lusail Lebanese Restaurant,Lusail,3.2,Lebanese
Al Wakrah Qatari Restaurant,Al Wakrah,3.6,Qatari
Al Khor Qatari Restaurant,Al Khor,4.3,Qatari
Al Rayyan Middle Eastern Restaurant,Al Rayyan,4.2,Middle Eastern
Al Rayyan Middle Eastern Restaurant,Al Rayyan,4.4,Middle Eastern
Doha International Restaurant,Doha,3.1,International
Al Rayyan Indian Restaurant,Al Rayyan,3.4,Indian
