Attraction,City,Rating,Category
Riyadh Desert Camp,Riyadh,3.6,Desert Camp
Madinah Desert Camp,Madinah,4.1,Desert Camp
Madinah Historical Site,Madinah,4.7,Historical Site
Dammam Historical Site,Dammam,4.9,Historical Site
Dammam Mosque,Dammam,4.1,Mosque
Riyadh Museum,Riyadh,3.7,Museum
Makkah Mall,Makkah,4.8,Mall
Dammam Desert Camp,Dammam,3.6,Desert Camp
Dammam Mosque,Dammam,3.8,Mosque
Jeddah Desert Camp,Jeddah,3.7,Desert Camp
Riyadh Mall,Riyadh,3.9,Mall
Makkah Historical Site,Makkah,4.7,Historical Site
Makkah Mosque,Makkah,4.7,Mosque
Dammam Mosque,Dammam,3.6,Mosque
Dammam Mosque,Dammam,4.8,Mosque
Madinah Desert Camp,Madinah,4.9,Desert Camp
Jeddah Mosque,Jeddah,4.0,Mosque
Makkah Mosque,Makkah,4.1,Mosque
Dammam Historical Site,Dammam,4.1,Historical Site
Makkah Desert Camp,Makkah,4.9,Desert Camp
Dammam Historical Site,Dammam,3.7,Historical Site
Makkah Museum,Makkah,4.1,Museum
Jeddah Desert Camp,Jeddah,4.6,Desert Camp
Makkah Museum,Makkah,4.2,Museum
Riyadh Historical Site,Riyadh,4.9,Historical Site
Madinah Museum,Madinah,3.8,Museum
Dammam Museum,Dammam,4.9,Museum
Riyadh Historical Site,Riyadh,4.1,Historical Site
Riyadh Historical Site,Riyadh,4.0,Historical Site
Dammam Museum,Dammam,4.4,Museum
Riyadh Mosque,Riyadh,4.6,Mosque
Jeddah Mosque,Jeddah,3.6,Mosque
Dammam Mosque,Dammam,3.5,Mosque
Madinah Historical Site,Madinah,3.6,Historical Site
Madinah Historical Site,Madinah,5.0,Historical Site
Makkah Museum,Makkah,4.9,Museum
Riyadh Museum,Riyadh,4.6,Museum
Madinah Mosque,Madinah,3.9,Mosque
Madinah Desert Camp,Madinah,4.8,Desert Camp
Riyadh Mosque,Riyadh,4.4,Mosque
Dammam Desert Camp,Dammam,4.5,Desert Camp
Riyadh Mosque,Riyadh,4.0,Mosque
Madinah Museum,Madinah,3.9,Museum
Dammam Mosque,Dammam,4.8,Mosque
Jeddah Mall,Jeddah,3.7,Mall
Dammam Museum,Dammam,3.7,Museum
Makkah Historical Site,Makkah,3.5,Historical Site
Dammam Desert Camp,Dammam,4.5,Desert Camp
Dammam Desert Camp,Dammam,4.1,Desert Camp
Riyadh Historical Site,Riyadh,4.3,Historical Site
