Hotel Name,City,Rating,Stars,Price (SAR)
Al Suites,Riyadh,3.2,4,539
Al Resort,Riyadh,4.2,5,1170
Oasis Suites,Makkah,3.5,3,1974
Jeddah Inn,Madinah,3.1,4,2245
Jeddah Palace,Riyadh,3.5,5,1624
Royal Suites,Dammam,4.7,3,1214
Al Hotel,Makkah,4.9,5,1449
King Resort,Madinah,4.2,3,1703
Desert Inn,Dammam,4.7,4,2188
Jeddah Resort,Jeddah,4.6,5,1615
Jeddah Hotel,Jeddah,4.7,5,522
Al Suites,Madinah,4.8,3,1923
Al Resort,Makkah,3.2,4,1514
Riyadh Inn,Riyadh,3.7,5,1198
Oasis Resort,Riyadh,3.8,4,1546
Riyadh Palace,Makkah,3.0,3,1570
Oasis Hotel,Riyadh,3.2,5,1410
Oasis Inn,Riyadh,4.1,4,1265
Riyadh Inn,Makkah,4.7,3,1057
King Hotel,Madinah,3.2,3,1914
Al Resort,Jeddah,4.2,3,2096
Desert Palace,Riyadh,4.2,5,363
Jeddah Suites,Riyadh,3.5,4,1166
Royal Resort,Makkah,3.9,4,1659
Riyadh Inn,Dammam,3.0,4,844
King Suites,Riyadh,3.1,4,1781
Al Resort,Dammam,4.1,3,988
Jeddah Hotel,Dammam,4.2,5,1206
Riyadh Resort,Madinah,3.5,5,1018
Riyadh Inn,Jeddah,3.3,3,1989
Riyadh Hotel,Madinah,3.7,5,2088
Oasis Hotel,Madinah,4.4,3,1054
Riyadh Palace,Madinah,3.5,4,1552
Riyadh Palace,Jeddah,4.3,3,335
King Hotel,Jeddah,4.9,3,740
Al Palace,Riyadh,4.9,3,2223
Royal Suites,Dammam,4.5,3,1127
Desert Hotel,Madinah,3.6,3,1281
Royal Hotel,Madinah,4.6,4,1572
King Suites,Makkah,4.7,4,755
Jeddah Suites,Riyadh,4.9,4,1999
Al Resort,Jeddah,4.3,3,1226
Desert Palace,Madinah,4.0,4,2097
Oasis Suites,Madinah,3.1,3,1708
King Palace,Madinah,4.4,5,312
Oasis Hotel,Dammam,3.3,3,2246
Desert Palace,Dammam,3.2,3,635
Al Resort,Madinah,3.8,5,1716
Al Palace,Makkah,3.0,3,858
Desert Hotel,Jeddah,4.8,5,2188
