Name,City,Type,Rating,Avg Consultation Price (SAR)
Dammam International Dental Center,Dammam,Dental Center,4.7,389
Riyadh International Hospital,Riyadh,Hospital,4.9,626
Makkah International Dental Center,Makkah,Dental Center,4.2,620
Jeddah International Dental Center,Jeddah,Dental Center,5.0,706
Riyadh International Clinic,Riyadh,Clinic,4.1,174
Madinah International Wellness Resort,Madinah,Wellness Resort,4.1,552
Riyadh International Wellness Resort,Riyadh,Wellness Resort,4.7,404
Dammam International Dental Center,Dammam,Dental Center,4.8,683
Madinah International Clinic,Madinah,Clinic,4.7,682
Makkah International Wellness Resort,Makkah,Wellness Resort,4.1,419
Makkah International Wellness Resort,Makkah,Wellness Resort,4.7,312
Dammam International Dental Center,Dammam,Dental Center,4.8,412
Makkah International Clinic,Makkah,Clinic,4.9,626
Dammam International Clinic,Dammam,Clinic,4.0,694
Dammam International Wellness Resort,Dammam,Wellness Resort,4.5,396
Madinah International Dental Center,Madinah,Dental Center,4.2,677
Dammam International Hospital,Dammam,Hospital,4.5,667
Dammam International Clinic,Dammam,Clinic,5.0,494
Jeddah International Clinic,Jeddah,Clinic,5.0,342
Dammam International Hospital,Dammam,Hospital,5.0,652
Dammam International Dental Center,Dammam,Dental Center,4.9,274
Madinah International Clinic,Madinah,Clinic,4.7,347
Makkah International Clinic,Makkah,Clinic,4.5,610
Riyadh International Wellness Resort,Riyadh,Wellness Resort,4.6,285
Makkah International Hospital,Makkah,Hospital,4.1,333
Makkah International Dental Center,Makkah,Dental Center,4.6,492
Madinah International Hospital,Madinah,Hospital,4.0,309
Madinah International Wellness Resort,Madinah,Wellness Resort,4.0,701
Riyadh International Dental Center,Riyadh,Dental Center,4.6,743
Dammam International Clinic,Dammam,Clinic,4.7,182
