Name,City,User Rating,Cuisine
Jeddah Indian Restaurant,Jeddah,4.7,Indian
Makkah Indian Restaurant,Makkah,3.4,Indian
Makkah Lebanese Restaurant,Makkah,3.3,Lebanese
Dammam Lebanese Restaurant,Dammam,3.1,Lebanese
Jeddah Lebanese Restaurant,Jeddah,4.9,Lebanese
Dammam Saudi Restaurant,Dammam,3.7,Saudi
Dammam Saudi Restaurant,Dammam,4.2,Saudi
Jeddah Saudi Restaurant,Jeddah,4.3,Saudi
Madinah Lebanese Restaurant,Madinah,3.1,Lebanese
Makkah Indian Restaurant,Makkah,5.0,Indian
Dammam Lebanese Restaurant,Dammam,3.8,Lebanese
Riyadh Indian Restaurant,Riyadh,4.4,Indian
Madinah Indian Restaurant,Madinah,3.8,Indian
Madinah Lebanese Restaurant,Madinah,4.3,Lebanese
Madinah Saudi Restaurant,Madinah,4.3,Saudi
Makkah International Restaurant,Makkah,4.8,International
Jeddah International Restaurant,Jeddah,4.1,International
Makkah Middle Eastern Restaurant,Makkah,3.1,Middle Eastern
Dammam Indian Restaurant,Dammam,4.4,Indian
Jeddah Indian Restaurant,Jeddah,4.9,Indian
Madinah Indian Restaurant,Madinah,4.1,Indian
Jeddah Middle Eastern Restaurant,Jeddah,3.8,Middle Eastern
Dammam Lebanese Restaurant,Dammam,4.6,Lebanese
Jeddah Lebanese Restaurant,Jeddah,4.9,Lebanese
Makkah Lebanese Restaurant,Makkah,3.3,Lebanese
Dammam Middle Eastern Restaurant,Dammam,4.0,Middle Eastern
Makkah Indian Restaurant,Makkah,3.3,Indian
Makkah Indian Restaurant,Makkah,3.6,Indian
Madinah International Restaurant,Madinah,4.7,International
Makkah Lebanese Restaurant,Makkah,4.5,Lebanese
Jeddah Indian Restaurant,Jeddah,3.9,Indian
Makkah International Restaurant,Makkah,3.1,International
Madinah Lebanese Restaurant,Madinah,4.3,Lebanese
Makkah International Restaurant,Makkah,4.2,International
Jeddah International Restaurant,Jeddah,3.7,International
Jeddah Middle Eastern Restaurant,Jeddah,4.2,Middle Eastern
Jeddah Middle Eastern Restaurant,Jeddah,4.7,Middle Eastern
Makkah International Restaurant,Makkah,4.3,International
Makkah Indian Restaurant,Makkah,4.9,Indian
Riyadh Saudi Restaurant,Riyadh,3.6,Saudi
Madinah Lebanese Restaurant,Madinah,4.4,Lebanese
Makkah International Restaurant,Makkah,4.7,International
Dammam Middle Eastern Restaurant,Dammam,4.9,Middle Eastern
Makkah Lebanese Restaurant,Makkah,3.5,Lebanese
Riyadh Lebanese Restaurant,Riyadh,4.3,Lebanese
Dammam Indian Restaurant,Dammam,4.4,Indian
Riyadh Lebanese Restaurant,Riyadh,3.3,Lebanese
Makkah International Restaurant,Makkah,4.7,International
Jeddah Indian Restaurant,Jeddah,4.4,Indian
Madinah Indian Restaurant,Madinah,4.2,Indian
