Attraction,City,Rating,Category
Bursa Mosque,Bursa,4.0,Mosque
Antalya Ruins,Antalya,4.2,Ruins
Istanbul Ruins,Istanbul,4.3,Ruins
Ankara Ruins,Ankara,4.7,Ruins
Istanbul Ruins,Istanbul,4.1,Ruins
Antalya Palace,Antalya,3.9,Palace
Cappadocia Ruins,Cappadocia,4.0,Ruins
Cappadocia Palace,Cappadocia,4.8,Palace
Istanbul Ruins,Istanbul,4.1,Ruins
Bursa Bazaar,Bursa,3.9,Bazaar
Izmir Bazaar,Izmir,3.6,Bazaar
Izmir Museum,Izmir,4.5,Museum
Cappadocia Mosque,Cappadocia,4.6,Mosque
Cappadocia Museum,Cappadocia,4.0,Museum
Bursa Mosque,Bursa,3.9,Mosque
Bursa Museum,Bursa,3.6,Museum
Cappadocia Palace,Cappadocia,4.2,Palace
Ankara Ruins,Ankara,4.6,Ruins
Cappadocia Ruins,Cappadocia,4.3,Ruins
Bursa Palace,Bursa,4.0,Palace
Izmir Palace,Izmir,4.8,Palace
Bursa Bazaar,Bursa,3.9,Bazaar
Ankara Mosque,Ankara,4.4,Mosque
Cappadocia Mosque,Cappadocia,4.4,Mosque
Cappadocia Museum,Cappadocia,4.1,Museum
Antalya Palace,Antalya,3.9,Palace
Ankara Ruins,Ankara,3.8,Ruins
Izmir Palace,Izmir,4.6,Palace
Cappadocia Bazaar,Cappadocia,4.1,Bazaar
Antalya Palace,Antalya,3.8,Palace
Istanbul Bazaar,Istanbul,4.1,Bazaar
Bursa Mosque,Bursa,3.5,Mosque
Ankara Mosque,Ankara,3.8,Mosque
Bursa Museum,Bursa,4.4,Museum
Bursa Ruins,Bursa,4.9,Ruins
Ankara Palace,Ankara,4.0,Palace
Izmir Mosque,Izmir,4.0,Mosque
Bursa Palace,Bursa,4.4,Palace
Bursa Ruins,Bursa,3.6,Ruins
Bursa Palace,Bursa,4.6,Palace
Izmir Palace,Izmir,4.2,Palace
Istanbul Bazaar,Istanbul,5.0,Bazaar
Bursa Ruins,Bursa,3.6,Ruins
Antalya Museum,Antalya,4.1,Museum
Antalya Palace,Antalya,4.6,Palace
Antalya Museum,Antalya,4.9,Museum
Izmir Museum,Izmir,4.3,Museum
Cappadocia Mosque,Cappadocia,4.1,Mosque
Izmir Museum,Izmir,4.6,Museum
Bursa Bazaar,Bursa,4.9,Bazaar
