Origin,Destination,Airline,Price (TRY)
Istanbul,Bursa,Turkey Air,851
Cappadocia,Ankara,Turkey Air,495
Cappadocia,Antalya,Turkey Air,642
Ankara,Bursa,Turkey Air,365
Antalya,Izmir,Turkey Air,981
Istanbul,Izmir,Turkey Air,313
Bursa,Ankara,Turkey Air,698
Izmir,Antalya,Turkey Air,271
Istanbul,Cappadocia,Turkey Air,321
Istanbul,Antalya,Turkey Air,920
Izmir,Antalya,Turkey Air,825
Cappadocia,Bursa,Turkey Air,766
Antalya,Istanbul,Turkey Air,427
Ankara,Istanbul,Turkey Air,985
Bursa,Istanbul,Turkey Air,364
Antalya,Cappadocia,Turkey Air,257
Antalya,Bursa,Turkey Air,348
Bursa,Antalya,Turkey Air,956
Ankara,Cappadocia,Turkey Air,589
Istanbul,Izmir,Turkey Air,710
