Hotel Name,City,Rating,Stars,Price (TRY)
Bosphorus Cave Hotel,Antalya,3.4,3,391
Grand Resort,Istanbul,4.6,3,606
Grand Palace,Istanbul,3.1,3,669
Ottoman Hotel,Izmir,4.2,5,554
Grand Inn,Ankara,3.7,4,562
Bosphorus Palace,Istanbul,3.0,4,297
Sultan Inn,Cappadocia,3.6,4,598
Sultan Inn,Izmir,4.5,4,172
Anatolian Cave Hotel,Cappadocia,4.3,5,474
Istanbul Inn,Izmir,3.2,3,724
Ottoman Hotel,Istanbul,3.8,4,554
Grand Resort,Cappadocia,3.4,5,149
Anatolian Inn,Ankara,4.3,5,501
Istanbul Suites,Ankara,3.2,4,331
Bosphorus Hotel,Cappadocia,3.8,3,166
Bosphorus Inn,Ankara,4.4,4,154
Bosphorus Cave Hotel,Cappadocia,4.1,5,466
Grand Resort,Antalya,4.3,4,295
Bosphorus Palace,Ankara,3.9,3,552
Anatolian Palace,Cappadocia,4.4,3,285
Ottoman Inn,Cappadocia,3.6,3,628
Ottoman Palace,Izmir,4.9,4,683
Ottoman Palace,Bursa,4.3,5,370
Ottoman Resort,Bursa,4.8,4,600
Istanbul Inn,Bursa,3.8,3,311
Sultan Inn,Ankara,4.7,4,737
Grand Cave Hotel,Antalya,4.8,4,284
Anatolian Suites,Ankara,4.5,3,362
Ottoman Hotel,Ankara,4.2,3,588
Ottoman Resort,Bursa,3.3,5,279
Grand Cave Hotel,Ankara,3.5,3,198
Anatolian Resort,Cappadocia,4.4,5,734
Sultan Cave Hotel,Ankara,4.8,4,658
Ottoman Suites,Istanbul,3.1,5,671
Grand Cave Hotel,Bursa,4.9,5,744
Ottoman Resort,Cappadocia,4.2,3,367
Bosphorus Cave Hotel,Bursa,3.4,5,166
Anatolian Inn,Antalya,3.2,5,308
Bosphorus Cave Hotel,Istanbul,3.4,3,627
Ottoman Cave Hotel,Cappadocia,3.6,5,359
Grand Resort,Izmir,3.0,3,743
Sultan Cave Hotel,Izmir,3.4,5,408
Sultan Resort,Bursa,4.9,3,208
Anatolian Palace,Istanbul,4.6,3,224
Sultan Inn,Ankara,4.5,5,229
Bosphorus Palace,Bursa,3.1,5,179
Sultan Palace,Antalya,4.2,5,646
Sultan Palace,Antalya,3.9,5,533
Anatolian Inn,Izmir,4.1,3,212
Bosphorus Suites,Bursa,4.0,4,514
