Name,City,Type,Rating,Avg Consultation Price (TRY)
Izmir International Cosmetic Surgery Center,Izmir,Cosmetic Surgery Center,4.4,109
Ankara International Dental Center,Ankara,Dental Center,4.4,111
Cappadocia International Hair Transplant Clinic,Cappadocia,Hair Transplant Clinic,4.3,77
Bursa International Hospital,Bursa,Hospital,4.9,128
Antalya International Hair Transplant Clinic,Antalya,Hair Transplant Clinic,4.3,77
Antalya International Hair Transplant Clinic,Antalya,Hair Transplant Clinic,4.6,198
Bursa International Hair Transplant Clinic,Bursa,Hair Transplant Clinic,4.8,136
Istanbul International Hair Transplant Clinic,Istanbul,Hair Transplant Clinic,5.0,107
Cappadocia International Hospital,Cappadocia,Hospital,4.9,88
Bursa International Cosmetic Surgery Center,Bursa,Cosmetic Surgery Center,4.7,240
Cappadocia International Cosmetic Surgery Center,Cappadocia,Cosmetic Surgery Center,4.6,83
Izmir International Cosmetic Surgery Center,Izmir,Cosmetic Surgery Center,4.4,101
Istanbul International Dental Center,Istanbul,Dental Center,4.8,115
Bursa International Dental Center,Bursa,Dental Center,4.0,60
Ankara International Dental Center,Ankara,Dental Center,4.2,135
Bursa International Dental Center,Bursa,Dental Center,4.8,62
Bursa International Dental Center,Bursa,Dental Center,4.1,239
Istanbul International Hospital,Istanbul,Hospital,4.0,200
Cappadocia International Dental Center,Cappadocia,Dental Center,4.3,187
Ankara International Hospital,Ankara,Hospital,5.0,206
Cappadocia International Hair Transplant Clinic,Cappadocia,Hair Transplant Clinic,4.0,67
Antalya International Dental Center,Antalya,Dental Center,5.0,81
Ankara International Cosmetic Surgery Center,Ankara,Cosmetic Surgery Center,4.7,196
Izmir International Cosmetic Surgery Center,Izmir,Cosmetic Surgery Center,4.5,236
Ankara International Dental Center,Ankara,Dental Center,4.5,234
Cappadocia International Hospital,Cappadocia,Hospital,4.0,163
Istanbul International Dental Center,Istanbul,Dental Center,4.6,171
Bursa International Dental Center,Bursa,Dental Center,4.4,81
Cappadocia International Cosmetic Surgery Center,Cappadocia,Cosmetic Surgery Center,4.1,163
Istanbul International Cosmetic Surgery Center,Istanbul,Cosmetic Surgery Center,4.3,84
