Name,City,User Rating,Cuisine
Izmir Mediterranean Restaurant,Izmir,3.2,Mediterranean
Antalya Mediterranean Restaurant,Antalya,3.8,Mediterranean
Antalya Seafood Restaurant,Antalya,4.1,Seafood
Istanbul Turkish Restaurant,Istanbul,4.0,Turkish
Izmir Mediterranean Restaurant,Izmir,4.7,Mediterranean
Ankara Middle Eastern Restaurant,Ankara,4.3,Middle Eastern
Antalya Turkish Restaurant,Antalya,4.4,Turkish
Izmir Seafood Restaurant,Izmir,3.4,Seafood
Izmir Turkish Restaurant,Izmir,3.3,Turkish
Antalya Turkish Restaurant,Antalya,4.0,Turkish
Istanbul International Restaurant,Istanbul,4.3,International
Cappadocia Middle Eastern Restaurant,Cappadocia,4.9,Middle Eastern
Istanbul International Restaurant,Istanbul,4.5,International
Antalya Mediterranean Restaurant,Antalya,3.1,Mediterranean
Istanbul Middle Eastern Restaurant,Istanbul,3.7,Middle Eastern
Izmir Turkish Restaurant,Izmir,4.8,Turkish
Ankara Mediterranean Restaurant,Ankara,4.3,Mediterranean
Cappadocia Turkish Restaurant,Cappadocia,3.3,Turkish
Bursa Turkish Restaurant,Bursa,4.7,Turkish
Antalya Seafood Restaurant,Antalya,4.7,Seafood
Antalya Turkish Restaurant,Antalya,4.1,Turkish
Antalya Middle Eastern Restaurant,Antalya,4.4,Middle Eastern
Ankara Middle Eastern Restaurant,Ankara,3.0,Middle Eastern
Izmir International Restaurant,Izmir,4.4,International
Izmir Middle Eastern Restaurant,Izmir,3.5,Middle Eastern
Antalya Turkish Restaurant,Antalya,3.3,Turkish
Ankara International Restaurant,Ankara,3.8,International
Istanbul Middle Eastern Restaurant,Istanbul,4.3,Middle Eastern
Istanbul Seafood Restaurant,Istanbul,3.6,Seafood
Cappadocia Middle Eastern Restaurant,Cappadocia,4.0,Middle Eastern
Istanbul International Restaurant,Istanbul,3.8,International
Antalya Mediterranean Restaurant,Antalya,4.9,Mediterranean
Izmir Turkish Restaurant,Izmir,4.1,Turkish
Cappadocia Mediterranean Restaurant,Cappadocia,3.5,Mediterranean
Antalya International Restaurant,Antalya,3.1,International
Izmir Seafood Restaurant,Izmir,3.1,Seafood
Izmir Turkish Restaurant,Izmir,3.4,Turkish
Bursa Turkish Restaurant,Bursa,3.9,Turkish
Cappadocia Turkish Restaurant,Cappadocia,3.9,Turkish
Izmir Seafood Restaurant,Izmir,3.7,Seafood
Ankara Turkish Restaurant,Ankara,3.4,Turkish
Ankara International Restaurant,Ankara,3.6,International
Cappadocia Turkish Restaurant,Cappadocia,4.8,Turkish
Bursa Middle Eastern Restaurant,Bursa,4.1,Middle Eastern
Bursa Seafood Restaurant,Bursa,4.5,Seafood
Ankara International Restaurant,Ankara,4.8,International
Izmir Mediterranean Restaurant,Izmir,3.6,Mediterranean
Cappadocia Mediterranean Restaurant,Cappadocia,3.8,Mediterranean
Cappadocia Seafood Restaurant,Cappadocia,4.6,Seafood
Antalya International Restaurant,Antalya,3.8,International
